,lat,lng
0,3566656122926.02,3565831421640.101
1,3566656054614.967,3565831365826.108
2,3566656035375.1704,3565831360183.106
3,3566656010663.1753,3565831350025.8833
4,3566655893555.123,3565831245882.19
5,3566655769697.1636,3565831134016.852
6,3566655693177.814,3565831071431.5283
7,3566655613739.5273,3565831005361.567
8,3566655515420.6484,3565830919947.8574
9,3566655454862.954,3565830873221.644
10,3566655464993.207,3565830898267.2783
11,3566655439917.6934,3565830891040.2676
12,3566655344337.071,3565830813268.9355
13,3566655284145.0522,3565830768997.7764
14,3566655233439.0396,3565830734705.3726
15,3566655167683.4043,3565830685306.229
16,3566655146164.6035,3565830680474.935
17,3566655123825.1885,3565830675505.034
18,3566655151832.582,3565830718528.2827
19,3566655281902.719,3565830861359.017
20,3566655478829.8345,3565831071724.5923
21,3566655707771.679,3565831314422.1514
22,3566655943097.7544,3565831562386.301
23,3566656188639.03,3565831819854.0483
24,3566656422961.654,3565832066452.0645
25,3566656637308.814,3565832291726.435
26,3566656818820.6304,3565832484530.2163
27,3566657002977.127,3565832678977.3433
28,3566657204827.926,3565832890174.558
29,3566657435683.098,3565833129605.3535
30,3566657653312.714,3565833355434.15
31,3566657869118.264,3565833579758.206
32,3566658083828.943,3565833802102.365
33,3566658331374.966,3565834056917.114
34,3566658578646.732,3565834309890.572
35,3566658844616.2524,3565834580980.2495
36,3566659119980.359,3565834861434.919
37,3566659382118.909,3565835128287.5894
38,3566659636686.939,3565835387280.0083
39,3566659910681.9175,3565835663913.4893
40,3566660195074.9346,3565835951278.096
41,3566660474633.53,3565836233039.5615
42,3566660762674.679,3565836523413.6484
43,3566661046155.664,3565836810025.8857
44,3566661326991.9683,3565837094994.7764
45,3566661581468.5786,3565837353373.4307
46,3566661845065.519,3565837619275.786
47,3566662130461.989,3565837908006.527
48,3566662411481.131,3565838194202.9443
49,3566662687848.69,3565838476023.7485
50,3566662965036.863,3565838757983.158
51,3566663262381.179,3565839057108.4736
52,3566663547594.8105,3565839344611.687
53,3566663808821.328,3565839610711.987
54,3566664066034.0376,3565839871347.752
55,3566664355899.2524,3565840163226.58
56,3566664652605.7935,3565840463440.8164
57,3566664910456.279,3565840722987.6606
58,3566665192842.392,3565841007619.9995
59,3566665473313.021,3565841290133.8354
60,3566665735542.99,3565841557600.269
61,3566665994033.4087,3565841821443.459
62,3566666271859.357,3565842102313.9478
63,3566666568565.898,3565842402528.1846
64,3566666848307.3315,3565842685517.1772
65,3566667140088.0317,3565842979514.509
66,3566667389275.282,3565843234606.47
67,3566667608091.1885,3565843463028.9277
68,3566667874152.1274,3565843734732.369
69,3566668154714.175,3565844017859.9688
70,3566668424057.5703,3565844290117.8354
71,3566668702521.2944,3565844569899.404
72,3566668960280.361,3565844828832.484
73,3566669222508.1733,3565845090913.6514
74,3566669475796.336,3565845341313.3784
75,3566669733189.727,3565845597791.404
76,3566669960483.8726,3565845824055.95
77,3566670202919.059,3565846066040.9995
78,3566670445447.822,3565846314025.0796
79,3566670624769.8965,3565846502869.0654
80,3566670767882.7524,3565846658074.273
81,3566670925133.1978,3565846827633.849
82,3566671080650.996,3565846996302.4487
83,3566671210812.5527,3565847139746.9473
84,3566671365052.642,3565847305208.1226
85,3566671569822.378,3565847519889.974
86,3566671729717.503,3565847691092.8975
87,3566671850210.2153,3565847823331.1123
