lat,lng
-31.9801466,115.8171931
-31.9801381,115.8171927
-31.9801303,115.8171928
-31.9801223,115.8171947
-31.9801137,115.8171966
-31.9801052,115.8171952
-31.9800972,115.8171934
-31.9800885,115.8171935
-31.9800801,115.8171934
-31.9800718,115.8171926
-31.9800633,115.8171932
-31.9800548,115.8171963
-31.9800443,115.8171988
-31.9800332,115.817199
-31.9800235,115.8172
-31.9800136,115.8172014
-31.9800036,115.8172023
-31.9799938,115.8172047
-31.9799836,115.8172072
-31.9799752,115.8172109
-31.979969,115.8172175
-31.979963,115.8172264
-31.9799571,115.8172364
-31.9799519,115.8172464
-31.9799472,115.8172566
-31.9799422,115.8172665
-31.9799378,115.8172755
-31.9799329,115.8172835
-31.9799286,115.8172914
-31.979925,115.8172997
-31.9799221,115.8173088
-31.9799193,115.8173174
-31.9799163,115.817326
-31.9799138,115.8173344
-31.9799118,115.8173438
-31.9799107,115.8173529
-31.9799101,115.8173625
-31.9799096,115.8173724
-31.9799092,115.8173818
-31.9799089,115.8173909
-31.9799098,115.8174003
-31.9799106,115.8174101
-31.9799118,115.8174196
-31.979913,115.8174294
-31.9799137,115.8174392
-31.9799138,115.8174491
-31.9799138,115.8174581
-31.9799148,115.8174671
-31.9799154,115.817477
-31.9799149,115.8174871
-31.9799142,115.8174971
-31.9799139,115.817507
-31.9799155,115.817517
-31.9799167,115.8175267
-31.9799162,115.8175361
-31.9799165,115.8175451
-31.9799179,115.8175549
-31.9799185,115.8175652
-31.9799198,115.8175739
-31.979921,115.8175835
-31.9799223,115.817593
-31.9799216,115.8176025
-31.9799208,115.8176119
-31.9799215,115.8176215
-31.9799221,115.8176318
-31.9799227,115.8176415
-31.979924,115.8176514
-31.9799228,115.8176606
-31.9799192,115.8176695
-31.9799183,115.8176792
-31.9799193,115.8176888
-31.97992,115.8176981
-31.9799217,115.8177074
-31.9799233,115.817716
-31.9799257,115.8177245
-31.9799296,115.8177322
-31.9799324,115.8177404
-31.979935,115.8177476
-31.9799374,115.8177554
-31.9799364,115.8177643
-31.9799325,115.8177719
-31.9799268,115.8177788
-31.9799211,115.8177862
-31.9799149,115.8177937
-31.9799084,115.8178004
-31.9799033,115.8178075
-31.9798994,115.817816
-31.9798943,115.8178233
-31.9798886,115.8178294
-31.9798839,115.8178365
-31.9798803,115.8178458
-31.9798775,115.8178559
-31.9798756,115.8178654
-31.9798736,115.8178745
-31.9798717,115.8178836
-31.9798693,115.8178927
-31.9798687,115.8179027
-31.9798702,115.8179119
-31.9798704,115.8179215
-31.9798694,115.8179314
-31.9798693,115.8179397
-31.9798708,115.8179492
-31.9798718,115.8179586
-31.9798717,115.8179681
-31.9798721,115.8179775
-31.9798733,115.8179877
-31.9798742,115.8179979
-31.9798746,115.8180078
-31.9798751,115.8180167
-31.9798761,115.8180258
-31.9798769,115.8180362
-31.9798781,115.8180451
-31.9798801,115.8180544
-31.9798821,115.8180631
-31.9798823,115.8180727
-31.979884,115.8180817
-31.9798872,115.8180916
-31.9798902,115.8181013
-31.9798923,115.8181114
-31.9798954,115.8181202
-31.9798995,115.8181286
-31.9799047,115.8181373
-31.9799096,115.818147
-31.9799147,115.8181546
-31.9799191,115.8181622
-31.9799222,115.8181697
-31.9799254,115.8181785
-31.97993,115.8181849
-31.9799357,115.8181927
-31.9799392,115.8182011
-31.9799413,115.8182105
-31.9799436,115.8182201
-31.9799462,115.8182303
-31.979948,115.8182404
-31.9799492,115.8182505
-31.9799511,115.8182594
-31.9799537,115.8182679
-31.979955,115.818278
-31.9799556,115.8182878
-31.9799578,115.818297
-31.9799613,115.8183056
-31.9799645,115.8183151
-31.9799673,115.8183234
-31.9799707,115.8183324
-31.9799732,115.8183414
-31.9799744,115.8183511
-31.9799769,115.8183603
-31.9799801,115.8183687
-31.9799823,115.8183783
-31.9799842,115.8183875
-31.9799873,115.8183958
-31.9799907,115.8184041
-31.9799947,115.8184108
-31.98,115.8184183
-31.9800047,115.8184255
-31.9800088,115.8184344
-31.9800125,115.818443
-31.9800166,115.8184517
-31.9800202,115.818461
-31.9800233,115.8184691
-31.9800273,115.8184768
-31.9800313,115.8184847
-31.9800348,115.8184943
-31.9800383,115.8185025
-31.980043,115.8185107
-31.9800476,115.818519
-31.9800516,115.8185273
-31.9800547,115.818533
-31.9800579,115.8185389
-31.980062,115.818547
-31.9800661,115.8185541
-31.9800704,115.8185617
-31.9800755,115.8185707
-31.9800806,115.8185792
-31.9800853,115.8185861
-31.9800897,115.818594
-31.9800936,115.8186027
-31.980097,115.8186125
-31.9801006,115.8186214
-31.9801037,115.8186312
-31.9801065,115.8186408
-31.980109,115.8186501
-31.9801126,115.8186575
-31.9801154,115.8186657
-31.9801163,115.8186741
-31.9801168,115.8186828
-31.980119,115.8186914
-31.9801214,115.8187005
-31.9801235,115.8187093
-31.9801277,115.8187165
-31.9801321,115.818724
-31.9801361,115.818732
-31.9801399,115.8187392
-31.9801419,115.8187432
-31.9801464,115.8187451
-31.9801506,115.8187462
-31.9801524,115.8187468
-31.9801519,115.8187468
-31.9801515,115.8187471
